claim_ref,policy_no,loss_date,report_date,status,peril_code,region,paid_gbp,outstanding_gbp,incurred_gbp
BRD-2025M12-006959,POL-1214830,2025-07-21,2025-07-26,Closed,TPPD,Midlands,10990.29,0.00,10990.29
BRD-2025M12-006960,POL-2319532,2025-09-04,2025-09-08,Open,TPBI,North,82.88,2917.61,3000.49
BRD-2025M12-006961,POL-5042690,2025-06-22,2025-07-23,Closed,TPPD,South,1063.37,0.00,1063.37
BRD-2025M12-006962,POL-5694299,2024-07-29,2024-08-04,ClosedWithoutPayment,AD,London,0.00,0.00,0.00
BRD-2025M12-006963,POL-8252295,2024-08-09,2024-08-10,Closed,TPPD,South,1405.91,0.00,1405.91
BRD-2025M12-006964,POL-5558385,2025-10-08,2025-10-12,Closed,FI,Midlands,399.95,0.00,399.95
BRD-2025M12-006965,POL-6650719,2025-06-08,2025-06-19,Closed,TPBI,North,827.02,0.00,827.02
BRD-2025M12-006966,POL-2256403,2025-12-07,2025-12-14,Closed,TPPD,North,2193.13,0.00,2193.13
BRD-2025M12-006967,POL-8433681,2025-04-09,2025-05-02,Closed,TPPD,North,-352.96,0.00,-352.96
BRD-2025M12-006968,POL-5781694,2025-11-05,2025-11-06,Closed,AD,North,1060.45,0.00,1060.45
BRD-2025M12-006969,POL-7234260,2025-03-18,2025-03-23,Open,TH,North,62.94,487.85,550.79
BRD-2025M12-006970,POL-3957857,2025-05-29,2025-06-16,Closed,AD,Midlands,1083.53,0.00,1083.53
BRD-2025M12-006971,POL-7764040,2025-06-24,2025-07-18,Open,TPBI,London,106.05,464.93,570.98
BRD-2025M12-006972,POL-8565403,2025-01-26,2025-01-30,Closed,TPBI,Midlands,3591.82,0.00,3591.82
BRD-2025M12-006973,POL-6957605,2025-07-06,2025-07-21,Open,TH,South,5639.67,10058.85,15698.52
BRD-2025M12-006974,POL-3148865,2025-08-06,2025-09-07,Closed,TH,South,18115.10,0.00,18115.10
BRD-2025M12-006975,POL-7921121,2025-12-18,2025-12-31,Closed,AD,London,2010.38,0.00,2010.38
BRD-2025M12-006976,POL-5295334,2025-03-16,2025-03-25,Open,FI,London,10509.30,15595.85,26105.15
BRD-2025M12-006977,POL-3988710,2025-11-25,2025-11-25,Open,TPPD,London,2439.83,4010.37,6450.20
BRD-2025M12-006978,POL-4898730,2025-07-25,2025-08-30,Closed,AD,London,746.70,0.00,746.70
BRD-2025M12-006979,POL-9466599,2025-03-04,2025-03-05,ClosedWithoutPayment,TPPD,Midlands,0.00,0.00,0.00
BRD-2025M12-006980,POL-5977108,2025-08-24,2025-08-25,Open,WS,London,118.39,437.44,555.83
BRD-2025M12-006981,POL-2816344,2025-07-20,2025-07-25,Closed,AD,South,270.18,0.00,270.18
BRD-2025M12-006982,POL-4102473,2025-12-15,2025-12-23,ClosedWithoutPayment,WS,Midlands,0.00,0.00,0.00
BRD-2025M12-006983,POL-3368551,2025-10-02,2025-10-15,Closed,TPPD,Midlands,331.75,0.00,331.75
BRD-2025M12-006984,POL-2254858,2025-05-07,2025-06-03,Open,FI,South,614.45,544.92,1159.37
BRD-2025M12-006985,POL-5376296,2025-04-24,2025-04-26,Reopened,AD,North,286.50,149.63,436.13
BRD-2025M12-006986,POL-3460645,2024-11-14,2024-11-22,Closed,AD,Midlands,1949.09,0.00,1949.09
BRD-2025M12-006987,POL-1190323,2025-10-13,2025-10-13,Open,TPBI,Midlands,2067.63,1658.25,3725.88
BRD-2025M12-006988,POL-1389392,2025-09-17,2025-10-12,Closed,TPPD,London,7898.84,0.00,7898.84
BRD-2025M12-006989,POL-2224837,2025-09-25,2025-10-03,Open,TH,South,178.19,798.46,976.65
BRD-2025M12-006990,POL-2674167,2024-11-02,2024-11-07,Open,AD,London,356.65,1475.75,1832.40
BRD-2025M12-006991,POL-9626725,2025-08-11,2025-08-12,Open,TH,South,104.37,312.99,417.36
BRD-2025M12-006992,POL-2930372,2025-01-10,2025-01-18,Closed,AD,Midlands,3302.37,0.00,3302.37
BRD-2025M12-006993,POL-6160735,2025-03-11,2025-03-17,Closed,FI,South,2195.51,0.00,2195.51
BRD-2025M12-006994,POL-1944972,2025-08-23,2025-09-16,ClosedWithoutPayment,TH,South,0.00,0.00,0.00
BRD-2025M12-006995,POL-1731455,2025-12-23,2025-12-23,Closed,AD,South,403.50,0.00,403.50
BRD-2025M12-006996,POL-8176008,2025-07-03,2025-07-08,Closed,TPPD,Scotland,1184.72,0.00,1184.72
BRD-2025M12-006997,POL-6331305,2025-04-14,2025-04-16,Closed,AD,Midlands,6135.30,0.00,6135.30
BRD-2025M12-006998,POL-9386621,2025-04-16,2025-04-23,Closed,WS,South,5021.49,0.00,5021.49
BRD-2025M12-006999,POL-7796353,2025-09-22,2025-09-22,Closed,TH,North,2069.75,0.00,2069.75
BRD-2025M12-007000,POL-4010877,2025-11-24,2025-12-10,Closed,FI,Scotland,1771.70,0.00,1771.70
BRD-2025M12-007001,POL-1254068,2025-10-27,2025-10-28,Closed,TPBI,London,3483.37,0.00,3483.37
BRD-2025M12-007002,POL-3327605,2025-11-02,2025-11-25,Closed,AD,London,1598.83,0.00,1598.83
BRD-2025M12-007003,POL-9402149,2025-08-01,2025-08-26,Closed,AD,North,27501.40,0.00,27501.40
BRD-2025M12-007004,POL-4819542,2025-03-27,2025-03-30,Reopened,AD,London,631.63,6854.93,7486.56
BRD-2025M12-007005,POL-1235675,2025-10-02,2025-10-02,ClosedWithoutPayment,TPBI,London,0.00,0.00,0.00
BRD-2025M12-007006,POL-5662113,2025-07-29,2025-08-15,Closed,TPBI,London,13988.17,0.00,13988.17
BRD-2025M12-007007,POL-1548124,2025-10-12,2025-11-12,Closed,WS,Midlands,3698.11,0.00,3698.11
BRD-2025M12-007008,POL-1035178,2024-12-23,2024-12-23,Open,TPBI,London,10179.63,4958.05,15137.68
BRD-2025M12-007009,POL-8837597,2025-07-05,2025-07-14,Reopened,WS,Midlands,933.88,1873.01,2806.89
BRD-2025M12-007010,POL-4371580,2025-09-03,2025-09-09,Reopened,TPPD,Scotland,1441.87,7522.72,8964.59
BRD-2025M12-007011,POL-9908961,2025-03-08,2025-03-15,Closed,TPPD,South,1110.92,0.00,1110.92
BRD-2025M12-007012,POL-2128470,2025-01-06,2025-01-22,Closed,WS,Midlands,1365.84,0.00,1365.84
BRD-2025M12-007013,POL-1475383,2024-11-10,2024-11-27,Closed,AD,North,4856.75,0.00,4856.75
BRD-2025M12-007014,POL-3269804,2025-07-20,2025-07-24,Open,AD,London,410.37,345.21,755.58
BRD-2025M12-007015,POL-3877829,2025-07-01,2025-07-05,Open,TPBI,South,3197.88,1505.41,4703.29
BRD-2025M12-007016,POL-4354864,2025-09-24,2025-09-27,Reopened,AD,South,325.86,6552.11,6877.97
BRD-2025M12-007017,POL-9372559,2025-03-25,2025-04-02,Closed,TPPD,Midlands,1282.39,0.00,1282.39
BRD-2025M12-007018,POL-5669553,2025-04-06,2025-04-20,Open,AD,Midlands,660.47,1898.31,2558.78
BRD-2025M12-007019,POL-5279452,2025-03-05,2025-03-10,Closed,AD,North,7278.92,0.00,7278.92
BRD-2025M12-007020,POL-4075046,2025-08-06,2025-08-08,Closed,TPPD,London,7766.60,0.00,7766.60
BRD-2025M12-007021,POL-6270391,2025-02-20,2025-02-20,Open,TPPD,North,4470.20,3211.45,7681.65
BRD-2025M12-007022,POL-2206357,2025-06-20,2025-06-22,Closed,TPPD,London,797.44,0.00,797.44
BRD-2025M12-007023,POL-6603883,2025-06-11,2025-06-12,Open,AD,North,247.81,1783.43,2031.24
BRD-2025M12-007024,POL-7972880,2025-12-03,2025-12-31,ClosedWithoutPayment,AD,North,0.00,0.00,0.00
BRD-2025M12-007025,POL-3489137,2025-10-11,2025-11-02,ClosedWithoutPayment,AD,North,0.00,0.00,0.00
BRD-2025M12-007026,POL-5130538,2025-08-12,2025-08-12,Closed,TPPD,London,5986.37,0.00,5986.37
BRD-2025M12-007027,POL-1069031,2025-06-27,2025-06-27,ClosedWithoutPayment,TH,North,0.00,0.00,0.00
BRD-2025M12-007028,POL-1570153,2025-09-14,2025-09-17,Closed,TPPD,London,1748.32,0.00,1748.32
BRD-2025M12-007029,POL-2565712,2025-01-04,2025-01-10,ClosedWithoutPayment,AD,North,0.00,0.00,0.00
BRD-2025M12-007030,POL-4220289,2025-07-01,2025-07-17,Closed,TPBI,South,240.31,0.00,240.31
BRD-2025M12-007031,POL-6317381,2025-08-01,2025-08-11,Closed,AD,North,4994.72,0.00,4994.72
BRD-2025M12-007032,POL-3380144,2025-12-12,2025-12-31,Closed,WS,London,1786.11,0.00,1786.11
BRD-2025M12-007033,POL-6257011,2024-10-24,2024-10-25,ClosedWithoutPayment,WS,Scotland,0.00,0.00,0.00
BRD-2025M12-007034,POL-5802110,2025-08-02,2025-09-13,ClosedWithoutPayment,TPPD,South,0.00,0.00,0.00
BRD-2025M12-007035,POL-2099622,2025-02-16,2025-03-09,Open,TH,South,705.02,693.59,1398.61
BRD-2025M12-007036,POL-4030656,2025-07-30,2025-08-06,Open,TH,London,652.27,493.77,1146.04
BRD-2025M12-007037,POL-1281386,2025-11-19,2025-11-30,Open,AD,South,2646.09,2690.39,5336.48
BRD-2025M12-007038,POL-6038653,2025-05-17,2025-05-23,Closed,AD,North,2398.21,0.00,2398.21
BRD-2025M12-007039,POL-1245396,2025-12-01,2025-12-22,Open,WS,London,2636.74,2960.83,5597.57
BRD-2025M12-007040,POL-5401021,2025-06-02,2025-06-15,Open,WS,London,643.56,276.23,919.79
BRD-2025M12-007041,POL-8189429,2025-01-27,2025-01-31,Closed,AD,London,7080.81,0.00,7080.81
BRD-2025M12-007042,POL-2652691,2025-06-23,2025-06-28,ClosedWithoutPayment,WS,South,0.00,0.00,0.00
BRD-2025M12-007043,POL-5277680,2025-11-20,2025-12-02,Closed,AD,London,1833.93,0.00,1833.93
BRD-2025M12-007044,POL-5132917,2025-08-01,2025-08-07,Closed,TPPD,North,18546.09,0.00,18546.09
BRD-2025M12-007045,POL-5348464,2025-10-13,2025-10-17,Open,AD,North,41.94,129.34,171.28
BRD-2025M12-007046,POL-8677784,2025-04-30,2025-05-02,Closed,TPPD,Midlands,910.68,0.00,910.68
BRD-2025M12-007047,POL-3448612,2025-06-23,2025-06-26,Reopened,AD,North,1124.65,2517.68,3642.33
BRD-2025M12-007048,POL-1392015,2025-02-28,2025-03-10,Reopened,TPPD,South,120.52,1859.47,1979.99
BRD-2025M12-007049,POL-4860959,2025-02-03,2025-02-06,Closed,TPPD,South,5705.05,0.00,5705.05
BRD-2025M12-007050,POL-4185519,2025-08-20,2025-08-21,Open,AD,North,132.77,1325.57,1458.34
BRD-2025M12-007051,POL-3946688,2025-04-28,2025-05-11,Closed,AD,London,1634.51,0.00,1634.51
BRD-2025M12-007052,POL-7475224,2025-10-13,2025-10-18,Closed,TPBI,Midlands,431.31,0.00,431.31
BRD-2025M12-007053,POL-3967607,2025-10-15,2025-10-17,Open,AD,London,181.57,1300.74,1482.31
BRD-2025M12-007054,POL-7374993,2025-12-23,2025-12-31,Closed,WS,South,949.10,0.00,949.10
BRD-2025M12-007055,POL-4777094,2025-09-28,2025-10-20,ClosedWithoutPayment,AD,North,0.00,0.00,0.00
BRD-2025M12-007056,POL-2235373,2025-10-30,2025-10-31,Open,TPPD,North,346.89,3537.63,3884.52
BRD-2025M12-007057,POL-4423963,2025-12-05,2025-12-24,Closed,AD,South,644.33,0.00,644.33
BRD-2025M12-007058,POL-1340733,2025-12-12,2025-12-20,Open,TPBI,South,1510.77,882.22,2392.99
BRD-2025M12-007059,POL-6060782,2025-11-19,2025-11-21,Open,FI,South,557.82,537.92,1095.74
BRD-2025M12-007060,POL-3826201,2025-07-13,2025-07-19,Reopened,WS,Midlands,331.49,572.98,904.47
BRD-2025M12-007061,POL-7587146,2025-12-16,2025-12-19,Closed,AD,Scotland,1985.86,0.00,1985.86
BRD-2025M12-007062,POL-4479067,2025-07-22,2025-08-14,Closed,AD,Midlands,3188.60,0.00,3188.60
BRD-2025M12-007063,POL-5899870,2025-11-29,2025-11-30,Reopened,TPPD,Midlands,204.62,2229.30,2433.92
BRD-2025M12-007064,POL-5026753,2024-11-15,2024-11-16,Open,WS,North,1297.46,984.74,2282.20
BRD-2025M12-007065,POL-9954505,2025-05-11,2025-06-14,Closed,TH,London,529.36,0.00,529.36
BRD-2025M12-007066,POL-7720338,2025-08-31,2025-09-05,Closed,WS,South,8860.53,0.00,8860.53
BRD-2025M12-007067,POL-2933268,2025-12-11,2025-12-17,ClosedWithoutPayment,AD,North,0.00,0.00,0.00
BRD-2025M12-007068,POL-9048745,2025-05-31,2025-06-26,Closed,TPPD,Midlands,1097.86,0.00,1097.86
BRD-2025M12-007069,POL-5885704,2025-01-25,2025-01-28,Closed,TPPD,London,951.49,0.00,951.49
BRD-2025M12-007070,POL-9383912,2025-06-25,2025-08-07,Closed,TPPD,South,536.77,0.00,536.77
BRD-2025M12-007071,POL-4087856,2025-11-24,2025-12-01,Closed,AD,North,5040.77,0.00,5040.77
BRD-2025M12-007072,POL-4309917,2024-09-22,2024-09-27,Open,TPPD,Scotland,1209.30,8821.24,10030.54
BRD-2025M12-007073,POL-5947383,2025-10-30,2025-11-17,Closed,TH,Scotland,1293.35,0.00,1293.35
BRD-2025M12-007074,POL-9084198,2024-11-23,2024-12-10,Closed,TPPD,South,981.99,0.00,981.99
BRD-2025M12-007075,POL-2679163,2025-05-07,2025-05-10,Closed,TPPD,London,1655.13,0.00,1655.13
BRD-2025M12-007076,POL-1872167,2025-10-20,2025-12-10,Closed,AD,Midlands,8113.68,0.00,8113.68
BRD-2025M12-007077,POL-3186337,2025-01-02,2025-02-20,Closed,TH,Midlands,1219.26,0.00,1219.26
BRD-2025M12-007078,POL-1705116,2025-12-14,2025-12-31,Closed,AD,Midlands,1236.56,0.00,1236.56
BRD-2025M12-007079,POL-5495053,2025-09-22,2025-10-03,Closed,TPBI,Midlands,2757.00,0.00,2757.00
BRD-2025M12-007080,POL-1615828,2025-09-29,2025-10-02,Closed,TPBI,South,1125.31,0.00,1125.31
BRD-2025M12-007081,POL-3574545,2024-12-28,2024-12-31,ClosedWithoutPayment,TPPD,South,0.00,0.00,0.00
BRD-2025M12-007082,POL-8955216,2025-01-30,2025-01-30,Closed,TPBI,London,703.14,0.00,703.14
BRD-2025M12-007083,POL-5869968,2025-09-07,2025-09-07,Closed,AD,South,693.52,0.00,693.52
BRD-2025M12-007084,POL-9190859,2024-11-15,2024-11-19,Closed,WS,South,6586.59,0.00,6586.59
BRD-2025M12-007085,POL-5081061,2024-11-09,2024-11-14,Closed,TPPD,North,12876.23,0.00,12876.23
BRD-2025M12-007086,POL-9943284,2025-07-02,2025-07-04,Closed,TPPD,South,2268.42,0.00,2268.42
BRD-2025M12-007087,POL-1916072,2025-07-01,2025-07-03,Closed,TPBI,Midlands,2591.10,0.00,2591.10
BRD-2025M12-007088,POL-7670710,2025-11-24,2025-11-26,Open,WS,Scotland,41.33,66.73,108.06
BRD-2025M12-007089,POL-8058483,2025-12-19,2025-12-22,Open,TH,Scotland,1165.87,11302.71,12468.58
BRD-2025M12-007090,POL-9975893,2025-05-07,2025-05-13,Closed,TPPD,South,2426.42,0.00,2426.42
BRD-2025M12-007091,POL-2095243,2025-12-26,2025-12-31,Closed,AD,Scotland,5326.93,0.00,5326.93
BRD-2025M12-007092,POL-9711553,2025-04-03,2025-04-15,Closed,AD,Midlands,10024.51,0.00,10024.51
BRD-2025M12-007093,POL-9032630,2025-07-19,2025-09-05,Open,WS,Scotland,356.43,4682.76,5039.19
BRD-2025M12-007094,POL-7293386,2025-03-28,2025-05-06,Closed,WS,Midlands,1187.43,0.00,1187.43
BRD-2025M12-007095,POL-6335364,2025-06-05,2025-06-09,Closed,TH,London,646.92,0.00,646.92
BRD-2025M12-007096,POL-5701261,2025-09-20,2025-10-06,Closed,TH,South,679.55,0.00,679.55
BRD-2025M12-007097,POL-7222474,2025-09-21,2025-09-22,Open,AD,Midlands,3343.40,1580.87,4924.27
BRD-2025M12-007098,POL-5854081,2025-09-11,2025-09-22,Closed,AD,Midlands,16999.81,0.00,16999.81
BRD-2025M12-007099,POL-6864281,2025-11-23,2025-12-27,Closed,TPPD,London,4741.54,0.00,4741.54
BRD-2025M12-007100,POL-9519498,2024-11-23,2024-12-04,Open,TPBI,London,411.78,299.60,711.38
BRD-2025M12-007101,POL-5309205,2025-09-28,2025-09-28,Closed,TH,South,2327.28,0.00,2327.28
BRD-2025M12-007102,POL-1635370,2025-11-05,2025-11-05,ClosedWithoutPayment,AD,Midlands,0.00,0.00,0.00
BRD-2025M12-007103,POL-1133410,2025-11-21,2025-11-23,Closed,AD,South,5192.65,0.00,5192.65
BRD-2025M12-007104,POL-8941024,2025-09-17,2025-09-18,Open,WS,London,187.86,4800.90,4988.76
BRD-2025M12-007105,POL-3887285,2025-09-14,2025-10-09,ClosedWithoutPayment,AD,London,0.00,0.00,0.00
BRD-2025M12-007106,POL-7238855,2025-10-03,2025-11-10,Closed,WS,Midlands,1228.46,0.00,1228.46
BRD-2025M12-007107,POL-9867600,2025-12-04,2025-12-18,Closed,TPPD,London,2786.38,0.00,2786.38
BRD-2025M12-007108,POL-3722616,2025-12-23,2025-12-28,Open,TPPD,London,95.82,136.57,232.39
BRD-2025M12-007109,POL-5316635,2025-06-07,2025-07-05,Closed,TPPD,North,13796.92,0.00,13796.92
BRD-2025M12-007110,POL-4472996,2025-03-31,2025-04-03,Open,TH,North,6.78,449.03,455.81
BRD-2025M12-007111,POL-5404028,2025-11-27,2025-12-08,Closed,AD,Midlands,-150.65,0.00,-150.65
BRD-2025M12-007112,POL-1310904,2025-02-07,2025-02-10,Closed,TPPD,North,4325.46,0.00,4325.46
BRD-2025M12-007113,POL-2027575,2025-08-02,2025-08-08,Open,AD,London,31.22,2937.17,2968.39
BRD-2025M12-007114,POL-8312595,2025-03-07,2025-03-07,Closed,AD,Midlands,2579.66,0.00,2579.66
BRD-2025M12-007115,POL-9128616,2024-09-15,2024-09-19,Closed,TPPD,South,3668.25,0.00,3668.25
BRD-2025M12-007116,POL-8624132,2025-06-15,2025-06-29,Closed,AD,Midlands,2158.47,0.00,2158.47
BRD-2025M12-007117,POL-4539564,2025-06-16,2025-06-16,ClosedWithoutPayment,FI,London,0.00,0.00,0.00
BRD-2025M12-007118,POL-6264623,2024-11-19,2024-11-21,Closed,AD,Midlands,2609.61,0.00,2609.61
BRD-2025M12-007119,POL-7651840,2025-05-15,2025-06-01,Reopened,TPPD,South,7.22,747.87,755.09
BRD-2025M12-007120,POL-8339006,2025-06-11,2025-06-13,Open,WS,Scotland,1149.87,970.53,2120.40
BRD-2025M12-007121,POL-7623276,2025-02-19,2025-02-23,Open,TPPD,North,1183.84,2257.71,3441.55
BRD-2025M12-007122,POL-9897726,2024-09-12,2024-10-03,Closed,AD,Scotland,3242.52,0.00,3242.52
BRD-2025M12-007123,POL-8059653,2025-09-03,2025-09-03,Open,TPPD,London,390.72,341.76,732.48
BRD-2025M12-007124,POL-9910307,2025-12-23,2025-12-28,Reopened,TPPD,London,1785.61,3611.32,5396.93
BRD-2025M12-007125,POL-3053164,2025-11-02,2025-11-18,Open,FI,London,32.94,60.30,93.24
BRD-2025M12-007126,POL-2713712,2025-03-03,2025-04-06,Closed,WS,Midlands,339.95,0.00,339.95
BRD-2025M12-007127,POL-9798549,2025-04-26,2025-04-27,ClosedWithoutPayment,TH,Midlands,0.00,0.00,0.00
BRD-2025M12-007128,POL-6854836,2025-03-28,2025-03-30,Open,TPBI,Scotland,184.26,2443.27,2627.53
BRD-2025M12-007129,POL-8602264,2025-03-09,2025-03-31,Closed,TPPD,South,5871.63,0.00,5871.63
BRD-2025M12-007130,POL-4688677,2025-11-01,2025-11-12,Open,TPPD,North,2891.97,1517.85,4409.82
BRD-2025M12-007131,POL-1874014,2025-09-24,2025-10-19,Closed,WS,North,5764.47,0.00,5764.47
BRD-2025M12-007132,POL-9763531,2024-06-25,2024-07-26,Closed,TH,South,326.25,0.00,326.25
BRD-2025M12-007133,POL-9143290,2025-06-15,2025-06-16,Open,FI,Midlands,269.89,2453.47,2723.36
BRD-2025M12-007134,POL-4115197,2025-07-09,2025-07-25,Closed,TPBI,Scotland,1171.75,0.00,1171.75
BRD-2025M12-007135,POL-8476768,2025-05-20,2025-06-07,Closed,TPBI,Midlands,2845.89,0.00,2845.89
BRD-2025M12-007136,POL-7314662,2025-12-03,2025-12-07,Closed,TH,London,2045.13,0.00,2045.13
BRD-2025M12-007137,POL-6736856,2025-11-29,2025-12-10,Closed,WS,South,911.30,0.00,911.30
BRD-2025M12-007138,POL-7116058,2025-05-31,2025-05-31,Open,AD,Midlands,454.64,3152.67,3607.31
BRD-2025M12-007139,POL-3959629,2025-04-07,2025-04-08,Open,WS,London,52.35,1085.09,1137.44
BRD-2025M12-007140,POL-6424269,2025-09-02,2025-09-10,Closed,AD,South,2004.43,0.00,2004.43
BRD-2025M12-007141,POL-7275895,2025-12-30,2025-12-31,Open,TPBI,North,188.66,3233.73,3422.39
BRD-2025M12-007142,POL-7001380,2025-11-20,2025-11-21,Closed,AD,South,3237.63,0.00,3237.63
BRD-2025M12-007143,POL-7014763,2025-12-08,2025-12-19,Closed,TPPD,North,1341.68,0.00,1341.68
BRD-2025M12-007144,POL-6875693,2025-11-05,2025-12-20,Closed,AD,Scotland,1693.85,0.00,1693.85
BRD-2025M12-007145,POL-2188595,2024-09-11,2024-09-14,Reopened,AD,South,243.45,417.93,661.38
BRD-2025M12-007146,POL-6160393,2025-10-23,2025-11-11,Open,AD,Scotland,871.96,4665.17,5537.13
BRD-2025M12-007147,POL-5435629,2025-11-25,2025-12-08,Closed,TH,Midlands,923.33,0.00,923.33
BRD-2025M12-007148,POL-7522290,2025-09-17,2025-09-24,Open,AD,South,176.61,575.52,752.13
BRD-2025M12-007149,POL-1177053,2025-08-09,2025-08-21,Closed,AD,London,3093.54,0.00,3093.54
BRD-2025M12-007150,POL-2898991,2025-12-10,2025-12-15,Closed,TH,North,4135.92,0.00,4135.92
BRD-2025M12-007151,POL-1637654,2025-06-28,2025-07-03,Open,TPBI,South,57.82,96.92,154.74
BRD-2025M12-007152,POL-3116218,2025-06-18,2025-06-23,Closed,TPBI,North,2619.87,0.00,2619.87
BRD-2025M12-007153,POL-3839857,2025-12-26,2025-12-26,Open,AD,South,61.89,1239.86,1301.75
BRD-2025M12-007154,POL-6059348,2025-03-17,2025-03-28,Closed,AD,North,4054.68,0.00,4054.68
BRD-2025M12-007155,POL-6797305,2025-08-19,2025-08-19,Closed,WS,London,4137.12,0.00,4137.12
BRD-2025M12-007156,POL-8948270,2025-10-29,2025-10-31,Closed,AD,South,-2680.60,0.00,-2680.60
BRD-2025M12-007157,POL-3128547,2025-12-09,2025-12-23,Reopened,TPPD,South,1155.52,4511.27,5666.79
BRD-2025M12-007158,POL-5801963,2025-10-22,2025-11-02,Closed,AD,London,6193.57,0.00,6193.57
BRD-2025M12-007159,POL-4022212,2025-07-06,2025-08-02,Open,AD,North,3221.04,1934.79,5155.83
BRD-2025M12-007160,POL-9850781,2025-12-12,,Closed,TH,South,1380.76,0.00,1380.76
BRD-2025M12-007161,POL-3709898,2025-02-02,2025-02-03,ClosedWithoutPayment,AD,North,0.00,0.00,0.00
BRD-2025M12-007162,POL-1500764,2024-09-19,2024-09-27,Closed,AD,North,5108.87,0.00,5108.87
BRD-2025M12-007163,POL-9900756,2025-02-09,2025-02-12,Closed,AD,London,249.85,0.00,249.85
BRD-2025M12-007164,POL-6408142,2025-03-11,2025-03-29,Open,TPPD,North,496.56,1730.25,2226.81
BRD-2025M12-007165,POL-5863112,2025-10-14,2025-10-18,Closed,TH,London,2601.23,0.00,2601.23
BRD-2025M12-007166,POL-4013316,2025-12-27,2025-12-31,Closed,AD,South,270.29,0.00,270.29
BRD-2025M12-007167,POL-9286811,2024-11-18,2024-11-24,Open,TPPD,North,922.38,459.93,1382.31
BRD-2025M12-007168,POL-5284926,2025-08-07,2025-08-13,Closed,AD,South,126.18,0.00,126.18
BRD-2025M12-007169,POL-1238542,2024-12-21,2024-12-27,Closed,TPBI,North,3218.67,0.00,3218.67
BRD-2025M12-007170,POL-8949484,2025-08-18,2025-09-02,Closed,TPBI,Midlands,419.07,0.00,419.07
BRD-2025M12-007171,POL-4369094,2025-05-11,2025-05-13,ClosedWithoutPayment,AD,Scotland,0.00,0.00,0.00
BRD-2025M12-007172,POL-6889727,2025-05-27,2025-06-05,Open,WS,North,505.67,617.80,1123.47
BRD-2025M12-007173,POL-2153279,2025-08-03,2025-08-05,Closed,TPBI,North,1144.58,0.00,1144.58
BRD-2025M12-007174,POL-6920954,2024-12-05,2024-12-31,Closed,TPBI,London,109.22,0.00,109.22
BRD-2025M12-007175,POL-2898516,2025-07-20,2025-07-21,Closed,AD,London,1137.78,0.00,1137.78
BRD-2025M12-007176,POL-7186161,2025-06-30,2025-07-01,Closed,AD,Midlands,958.31,0.00,958.31
BRD-2025M12-007177,POL-8805785,2025-10-04,2025-10-07,Open,TPPD,London,693.94,1851.58,2545.52
BRD-2025M12-007178,POL-7777919,2024-10-11,2024-10-13,Closed,TPPD,London,1476.19,0.00,1476.19
BRD-2025M12-007179,POL-8427094,2024-08-06,2024-08-12,Open,AD,South,3137.83,3061.91,6199.74
BRD-2025M12-007180,POL-1109530,2025-06-28,2025-07-01,Closed,TPPD,London,1605.19,0.00,1605.19
BRD-2025M12-007181,POL-6529937,2025-09-29,2025-10-16,Reopened,TPPD,South,158.23,1972.31,2130.54
BRD-2025M12-007182,POL-6229511,2025-08-09,2025-08-25,Open,TPBI,Midlands,74.71,521.25,595.96
BRD-2025M12-007183,POL-2250456,2024-07-25,2024-08-03,Closed,AD,Midlands,3313.83,0.00,3313.83
BRD-2025M12-007184,POL-7030838,2025-01-27,2025-03-05,Closed,AD,London,-403.55,0.00,-403.55
BRD-2025M12-007185,POL-8498570,2025-08-11,2025-08-11,Closed,AD,London,4113.95,0.00,4113.95
BRD-2025M12-007186,POL-3110018,2025-08-09,2025-08-18,Closed,TPPD,South,9028.83,0.00,9028.83
BRD-2025M12-007187,POL-7893349,2025-11-17,2025-11-23,ClosedWithoutPayment,AD,Midlands,0.00,0.00,0.00
BRD-2025M12-007188,POL-1917797,2025-11-20,2025-11-23,Closed,AD,South,6976.01,0.00,6976.01
BRD-2025M12-007189,POL-9231639,2025-10-03,2025-10-11,Open,AD,Midlands,-1336.41,0.00,-1336.41
BRD-2025M12-007190,POL-8496256,2025-04-19,2025-05-16,Closed,AD,London,489.86,0.00,489.86
BRD-2025M12-007191,POL-6262991,2025-03-18,2025-03-24,Closed,FI,South,1302.86,0.00,1302.86
BRD-2025M12-007192,POL-6821167,2025-08-11,2025-09-06,ClosedWithoutPayment,FI,Scotland,0.00,0.00,0.00
BRD-2025M12-007193,POL-4937507,2025-11-30,2025-12-02,Closed,AD,London,22765.11,0.00,22765.11
BRD-2025M12-007194,POL-8485777,2024-09-23,2024-10-06,Closed,AD,London,972.94,0.00,972.94
BRD-2025M12-007195,POL-9945392,2025-11-02,2025-11-02,ClosedWithoutPayment,WS,London,0.00,0.00,0.00
BRD-2025M12-007196,POL-9705373,2025-10-25,2025-11-05,Open,TPBI,South,504.41,548.76,1053.17
BRD-2025M12-007197,POL-2374595,2025-06-16,2025-07-09,ClosedWithoutPayment,AD,South,0.00,0.00,0.00
BRD-2025M12-007198,POL-8492322,2025-04-21,2025-04-28,Reopened,FI,London,229.82,268.51,498.33
BRD-2025M12-007199,POL-2636269,2025-09-28,2025-10-09,Closed,TH,South,2073.07,0.00,2073.07
BRD-2025M12-007200,POL-4824346,2025-08-17,2025-09-23,Open,AD,London,14.45,586.65,601.10
